reason,doi,removed_key,kept_key,removed_title,kept_title,removed_year,kept_year
duplicate_by_title_to_kept,10.1093/bioinformatics/btae353,matsumoto_kragen_2024,matsumoto_kragen_2024,{KRAGEN,{KRAGEN,2024,2024
duplicate_by_title_to_kept,10.1016/j.jss.2025.112436,yang_ragva_2025,yang_ragva_2025,{RAGVA,{RAGVA,2025,2025
duplicate_by_title_to_kept,10.48550/arXiv.2407.00541,low_answering_2024,low_answering_2024,Answering real-world clinical questions using large language model based systems,Answering real-world clinical questions using large language model based systems,2024,2024
duplicate_by_title_to_kept,10.30420/566438009,quddus_enhanced_2024,quddus_enhanced_2024,Enhanced {VLSI,Enhanced {VLSI,2024,2024
duplicate_by_title_to_kept,10.3390/technologies13040140,farias_chatbot_2025,farias_chatbot_2025,Chatbot {Based,Chatbot {Based,2025,2025
duplicate_by_title_to_kept,10.69554/yqbv7690,earley_what_2023,earley_what_2023,"What executives need to know about knowledge management, large language models and generative {AI","What executives need to know about knowledge management, large language models and generative {AI",2023,2023
duplicate_by_title_to_kept,10.1109/ACTEA66485.2025.11189974,serhan_vulnerabilities_2025,serhan_vulnerabilities_2025,Vulnerabilities of a {Medical,Vulnerabilities of a {Medical,2025,2025
duplicate_by_title_to_kept,10.1109/URTC65039.2024.10937570,sng_novel_2024,sng_novel_2024,A {Novel,A {Novel,2024,2024
duplicate_by_title_to_kept,10.1109/MCOM.001.2400774,zeeshan_llm-based_2025,zeeshan_llm-based_2025,{LLM,{LLM,2025,2025
duplicate_by_title_to_kept,10.1093/bioinformatics/btae679,craig_lmrac_2024,craig_lmrac_2024,{LmRaC,{LmRaC,2024,2024
duplicate_by_title_to_kept,10.1109/BESC64747.2024.10780718,leung_rag_2024,leung_rag_2024,{RAG,{RAG,2024,2024
duplicate_by_title_to_kept,10.1109/ACCESS.2024.3485877,xu_chattf_2024,xu_chattf_2024,{ChatTf,{ChatTf,2024,2024
duplicate_by_title_to_kept,10.2196/73698,temsah_authors_2025,temsah_authors_2025,Authors' {Reply,Authors’ {Reply,2025,2025
duplicate_by_title_to_kept,10.17770/etr2025vol2.8603,stankov_application_2025,stankov_application_2025,Application of a {Large,Application of a {Large,2025,2025
duplicate_by_title_to_kept,10.1038/s41405-025-00338-4,umer_transforming_2025,umer_transforming_2025,Transforming education: tackling the two sigma problem with {AI,Transforming education: tackling the two sigma problem with {AI,2025,2025
duplicate_by_title_to_kept,10.1109/UBMK63289.2024.10773564,sahin_llm_2024,sahin_llm_2024,{LLM,{LLM,2024,2024
duplicate_by_title_to_kept,10.1109/MDM65600.2025.00035,koh_clara_2025,koh_clara_2025,Clara: {Context,Clara: {Context,2025,2025
duplicate_by_title_to_kept,10.18653/v1/2024.emnlp-main.552,laban_summary_2024,laban_summary_2024,Summary of a haystack: {A,Summary of a {Haystack,2024,2024
duplicate_by_title_to_kept,10.1145/3728894,zhang_llm-lasso_2025,zhang_llm_2025,{LLM,{LLM,2025,2025
duplicate_by_title_to_kept,10.1145/3701716.3715520,lee_rag-enhanced_2025,lee_rag-enhanced_2025,{RAG,{RAG,2025,2025
duplicate_by_title_to_kept,10.1109/SLT61566.2024.10832316,lin_domain_2024,lin_domain_2024,Domain {Adaption,Domain {Adaption,2024,2024
duplicate_by_title_to_kept,10.1016/j.cogsys.2025.101337,soman_human_2025,soman_human_2025,Human guided empathetic {AI,Human guided empathetic {AI,2025,2025
duplicate_by_title_to_kept,10.1109/NILES63360.2024.10753267,ahmed_codeqa_2024,ahmed_codeqa_2024,{CodeQA,{CodeQA,2024,2024
duplicate_by_title_to_kept,10.1016/j.inffus.2025.103328,qu_pncd_2025,qu_pncd_2025,{PNCD,{PNCD,2025,2025
duplicate_by_title_to_kept,10.3390/math13122023,li_combining_2025,li_combining_2025,Combining {Lexicon,Combining {Lexicon,2025,2025
duplicate_by_title_to_kept,10.1109/ICDEW67478.2025.00033,cheung_hallucination_2025,cheung_hallucination_2025,Hallucination {Detection,Hallucination {Detection,2025,2025
duplicate_by_title_to_kept,10.1109/ISRITI64779.2024.10963661,ongris_towards_2024,ongris_towards_2024,Towards an {Open,Towards an {Open,2024,2024
duplicate_by_title_to_kept,10.1109/ICoCSETI63724.2025.11018908,sanjani_performance_2025,sanjani_performance_2025,Performance {Analysis,Performance {Analysis,2025,2025
duplicate_by_title_to_kept,10.1109/OCIT65031.2024.00058,kumari_innovative_2024,kumari_innovative_2024,Innovative {Corporate,Innovative {Corporate,2024,2024
duplicate_by_title_to_kept,10.1109/TPS-ISA62245.2024.00021,garza_privcomp-kg_2024,garza_privcomp-kg_2024,{PrivComp,{PrivComp,2024,2024
duplicate_by_title_to_kept,10.24507/ijicic.21.02.481,hong_innovative_2025,hong_innovative_2025,{INNOVATIVE,{INNOVATIVE,2025,2025
duplicate_by_title_to_kept,10.1109/CAIN66642.2025.00049,ayala_task_2025,ayala_task_2025,Task {Decomposition,Task {Decomposition,2025,2025
duplicate_by_title_to_kept,10.1109/ICAA64256.2024.00024,okutan_leveraging_2024,okutan_leveraging_2024,Leveraging {RAG,Leveraging {RAG,2024,2024
duplicate_by_title_to_kept,10.18653/v1/2024.emnlp-main.1196,zhang_synthetic_2024,zhang_synthetic_2024,Synthetic {Knowledge,Synthetic {Knowledge,2024,2024
duplicate_by_title_to_kept,10.1016/j.fsidi.2025.301872,sharma_forensicllm_2025,sharma_forensicllm_2025,{ForensicLLM,{ForensicLLM,2025,2025
duplicate_by_title_to_kept,10.1145/3731569.3764806,hu_hedrarag_2025,hu_hedrarag_2025,{HedraRAG,{HedraRAG,2025,2025
duplicate_by_title_to_kept,10.1093/bib/bbaf045,cinquin_steering_2025,cinquin_steering_2025,Steering veridical large language model analyses by correcting and enriching generated database queries: first steps toward {ChatGPT,Steering veridical large language model analyses by correcting and enriching generated database queries: first steps toward {ChatGPT,2025,2025
duplicate_by_title_to_kept,10.1109/ICDE60146.2024.00430,rorseth_rage_2024,rorseth_rage_2024,{RAGE,{RAGE,2024,2024
duplicate_by_title_to_kept,10.3390/fi16120462,zhang_generative_2024,zhang_generative_2024,Generative {AI,Generative {AI,2024,2024
duplicate_by_title_to_kept,10.1109/LAD62341.2024.10691715,lin_novel_2024,lin_novel_2024,Novel {Preprocessing,Novel {Preprocessing,2024,2024
duplicate_by_title_to_kept,10.1016/j.cose.2025.104458,sezgin_decoypot_2025,sezgin_decoypot_2025,{DecoyPot,{DecoyPot,2025,2025
duplicate_by_title_to_kept,10.1109/COMPSAC61105.2024.00135,yu_textual_2024,yu_textual_2024,Textual {Differential,Textual {Differential,2024,2024
duplicate_by_title_to_kept,10.1109/SmartGridComm60555.2024.10738062,fortuna_natural_2024,fortuna_natural_2024,Natural {Language,Natural {Language,2024,2024
duplicate_by_title_to_kept,10.1109/ICAIRC64177.2024.10900148,hsu_addressing_2024,hsu_addressing_2024,Addressing {LLM,Addressing {LLM,2024,2024
duplicate_by_title_to_kept,10.18653/v1/2024.acl-long.557,fernandez_syllabusqa_2024,fernandez_syllabusqa_2024,{SyllabusQA,{SYLLABUSQA,2024,2024
duplicate_by_title_to_kept,10.1038/s41746-025-01475-8,goodell_large_2025,goodell_large_2025,Large language model agents can use tools to perform clinical calculations,Large language model agents can use tools to perform clinical calculations,2025,2025
duplicate_by_title_to_kept,10.3390/electronics14193859,null_notitle_2025-2,null_notitle_2025,,,2025,2025
duplicate_by_title_to_kept,10.18653/v1/2024.customnlp4u-1.13,zhu_trustful_2024,zhu_trustful_2024,Trustful {LLMs,Trustful {LLMs,2024,2024
duplicate_by_title,,ma_think--graph_2024-1,ma_think--graph_2024,Think-on-graph 2.0: {Deep,Think-on-graph 2.0: {Deep,2024,2024
duplicate_by_title,,noauthor_proceedings_2024-2,noauthor_proceedings_2024-1,Proceedings - 2024 {International,Proceedings - 2024 {International,2024,2024
